product,price_kes,price_usd
"XIAOMI Redmi 15c, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)",11999.0,93.05
"XIAOMI  Redmi 15C, 6.9'',up to 8GB Extended RAM(4+4)+ 128GB Storage, Battery: 6000 mAh,1 YEAR WARRANTY - Black",12200.0,94.61
"XIAOMI Redmi 15C, 6.9', Up to 8GB Extended RAM + 128GB Storage, 6000 mAh (Dual Sim) 1 Year warranty - Black+LEDWatch+Earpods+Powerbank",12799.0,99.26
"VILLAON V110 1.77"", 1000mAh (Dual SIM) - Black",799.0,6.2
"Itel A90, 6.6"", 4GB RAM + 128GB (Dual SIM), 5000mAh, Black (1YR WRTY)",8888.0,68.93
"Oppo A16k, 6.52"", 32GB + 3GB RAM , 4230mAh, (Single SIM) Midnight Black",6500.0,50.41
"Tecno Spark 40, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5200 mAh Grey +LEDwatch+Earpods+Powerbank",13999.0,108.56
"Tecno Spark 40, 6.67'' HD+, UP To 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5200 MAh - grey",13095.0,101.55
"Kuhl S25 Ultra Kuhl 8GB + 128GB 6.8"" Brand New Android Smartphone (Dual SIM), 5000mAh, Gold Color (1 YR WRTY)",9380.0,72.74
SIMI S117 1.77inch Feature Phone Dual SIM Card 2500mAh,899.0,6.97
"XIAOMI Redmi A5, 6.88"", 3GB + 64GB , 5200mAh, DUAL SIM, 4G - Midnight Black",9600.0,74.45
"Itel S26 Ultra, 6.78"", 256GB + 8GB RAM (Dual SIM), 6000mAh, BlackBlue  (1 YR WRTY)",19799.0,153.54
"XIAOMI Redmi 15C, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)",16270.0,126.17
"VILLAON V5606, 1.77"", 1000mAh, Feature Phone (Dual SIM) - Black",820.0,6.36
"VILLAON V25, 5"", (2+2)GB RAM + 64GB, 3000mAh (Dual SIM) - Black",4850.0,37.61
